Metric,Value
design__instance__count__class:fill_cell,1963
design__instance__area__class:fill_cell,11514.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19978
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19992
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000216164
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000197928
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000747871
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000197928
design_powergrid__voltage__worst,0.000197928
design_powergrid__voltage__worst__net:VPWR,1.19978
design_powergrid__drop__worst,0.000216164
design_powergrid__drop__worst__net:VPWR,0.000216164
design_powergrid__voltage__worst__net:VGND,0.000197928
design_powergrid__drop__worst__net:VGND,0.000197928
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0000759000000000000017534584895173566110315732657909393310546875
ir__drop__worst,0.0002159999999999999919196580489000325542292557656764984130859375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
