Metric,Value
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,17
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,17
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,17
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19977
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19989
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00023416
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000188821
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000106377
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000188821
design_powergrid__voltage__worst,0.000188821
design_powergrid__voltage__worst__net:VPWR,1.19977
design_powergrid__drop__worst,0.00023416
design_powergrid__drop__worst__net:VPWR,0.00023416
design_powergrid__voltage__worst__net:VGND,0.000188821
design_powergrid__drop__worst__net:VGND,0.000188821
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000112999999999999995521811346765872485775616951286792755126953125
ir__drop__worst,0.0002339999999999999957638052716646370754460804164409637451171875
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
